% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
34.20%,Universal Pictures,,NADA,NADA,Month,13/06/2019,112,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,2,42,"4,259",15 / 788,15,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,21/02/2019,21/02/2019,"4,286",160000K,21,$160.8 Million,2,11,1,393351324,$129M,160799505,1,55022245,8248,15,160799505,$160.8M,522351324,$393M
29.50%,Universal Pictures,,NADA,NADA,Month,19/09/2019,104,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,6,25,"4,561",16 / 788,16,The Secret Life of Pets 2,The Secret Life of Pets 2,07/06/2019,07/06/2019,"4,564",150000K,21,$158.3 Million,6,11,1,354461580,$80M,158257265,1,46652680,62389,16,158257265,$158.3M,434461580,$354M
17.50%,Lionsgate,,NADA,NADA,Month,,NA,Lionsgate,Lionsgate,Lionsgate,Lionsgate,11,10,"3,461",17 / 788,17,Knives Out,Knives Out,27/11/2019,27/11/2019,"3,461",150000K,21,$153.0 Million,11,11,1,253612715,$40M,152984764,1,26769548,27376,17,152984764,$153.0M,293612715,$254M
37.70%,Warner Bros.,,NADA,NADA,Month,15/08/2019,97,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,5,25,"4,202",18 / 788,18,Pokémon Detective Pikachu,Pokémon Detective Pikachu,10/05/2019,10/05/2019,"4,248",140000K,21,$144.1 Million,5,11,1,279685022,$150M,144105346,1,54365242,33202,18,144105346,$144.1M,429685022,$280M
29%,Sony Pictures Releasing,,NADA,NADA,Month,,NA,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,7,32,"3,659",19 / 788,19,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,26/07/2019,26/07/2019,"3,659",140000K,21,$141.9 Million,7,11,1,281028003,$90M,141895661,1,41082018,88588,19,141895661,$141.9M,371028003,$281M
38.10%,Warner Bros.,,NADA,NADA,Month,25/07/2019,111,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,4,7,"4,217",20 / 788,20,Shazam!,Shazam!,05/04/2019,05/04/2019,"4,306",140000K,21,$140.4 Million,4,11,1,278664533,$85M,140371656,1,53505326,95433,20,140371656,$140.4M,363664533,$279M
40.10%,Walt Disney Studios,,NADA,NADA,Month,08/08/2019,132,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,3,5,"4,259",21 / 788,21,Dumbo,Dumbo,29/03/2019,29/03/2019,"4,259",110000K,21,$114.8 Million,3,11,1,183166307,$170M,114766307,1,45990748,78305,21,114766307,$114.8M,353166307,$183M
27.40%,Twentieth Century Fox,,NADA,NADA,Month,,NA,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,11,14,"3,528",22 / 788,22,Ford v Ferrari,Ford v Ferrari,15/11/2019,15/11/2019,"3,746",110000K,21,$114.7 Million,11,11,1,120038586,$98M,114695854,1,31474958,9868,22,114695854,$114.7M,217638586,$120M
32.50%,Walt Disney Studios,,NADA,NADA,Month,,NA,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,10,28,"3,790",23 / 788,23,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,18/10/2019,18/10/2019,"3,820",110000K,21,$113.8 Million,10,11,1,305307558,$185M,113845681,1,36948713,38373,23,113845681,$113.8M,490307558,$305M
36.30%,Universal Pictures,,NADA,NADA,Month,04/04/2019,77,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,1,5,"3,841",24 / 788,24,Glass,Glass,17/01/2019,17/01/2019,"3,844",110000K,21,$111.0 Million,1,11,1,225316968,$20M,111035005,1,40328920,34882,24,111035005,$111.0M,245316968,$225M
